prior,LF_case,L_F,P_DM_central,P_DM_median,P_DM_16,P_DM_84,P_F_central,P_A_central,P_C_central,P_I_central
sceptic pi_DM=0.01 (P083 implied 0.009),L_F=6e-4 (P093),0.0006,0.06697365414592739,0.0546548218612816,0.023704848558198075,0.12111790951062279,0.5947023414861027,0.22985281353605147,0.056692064176537854,0.06259743341919638
sceptic pi_DM=0.01 (P083 implied 0.009),L_F=4.2e-3 (range median),0.004242640687119285,0.01452640064988274,0.01385916048159716,0.006054982708548727,0.0314989984608455,0.9120920570168674,0.04985444056333474,0.012296352176079252,0.013577210458314233
sceptic pi_DM=0.01 (P083 implied 0.009),L_F=3e-2 (P061 upper),0.03,0.0022220548303538003,0.0022299364619285753,0.0009709923868438958,0.005123086408965859,0.9865530165358813,0.007626066713865464,0.0018809317880688447,0.0020768603874264484
sceptic pi_DM=0.01 (P083 implied 0.009),"L_F log-uniform [6e-4, 3e-2]",,0.01452640064988274,0.013166688815220292,0.0035333425942825386,0.04593758150811785,0.8674244241073327,0.05069500983255634,0.011019257914162847,0.012096759643653313
P083 base rate pi_DM=0.062,L_F=6e-4 (P093),0.0006,0.31959582810786696,0.2744803665186592,0.13710084787031235,0.4741775117239038,0.4336833102078884,0.167618860867123,0.041342366322553864,0.29871266285463194
P083 base rate pi_DM=0.062,L_F=4.2e-3 (range median),0.004242640687119285,0.08797214335489273,0.08421963453740874,0.03833524910303261,0.1754780962453859,0.8441153211742014,0.04613887028653423,0.011379925070644791,0.08222383049912713
P083 base rate pi_DM=0.062,L_F=3e-2 (P061 upper),0.03,0.01436354615744856,0.014413871547076056,0.006319873364656945,0.03259817421032963,0.9745481160948789,0.00753326868869915,0.0018580436122956148,0.013424997272739
P083 base rate pi_DM=0.062,"L_F log-uniform [6e-4, 3e-2]",,0.08797214335489273,0.08029786715811467,0.02267697665305149,0.23958769941010896,0.7937246315262193,0.04541800029318352,0.009729762580401343,0.07377934335529211
dossier pi_DM=0.20,L_F=6e-4 (P093),0.0006,0.6398449783287492,0.5886319499125048,0.3753670492326092,0.7732824261394466,0.22955947132426416,0.088724874070407,0.02188355312024849,0.5980359581735111
dossier pi_DM=0.20,L_F=4.2e-3 (range median),0.004242640687119285,0.26730697200360365,0.25806937946589203,0.13101945879481694,0.4459697218383875,0.6781343422166339,0.03706644301735221,0.00914225557655018,0.24984048721642094
dossier pi_DM=0.20,L_F=3e-2 (P061 upper),0.03,0.05223900607636589,0.052414978243039714,0.023490349010604327,0.11304217401932144,0.9370987523195163,0.007243784655144079,0.0017866438014518243,0.048825582931839424
dossier pi_DM=0.20,"L_F log-uniform [6e-4, 3e-2]",,0.26730697200360365,0.24824662821864546,0.08067982913419762,0.5437329478203184,0.6361945393170867,0.03323715261554692,0.007334395327567015,0.2280621300370408
"theorist pi_DM=0.20, uniform backgrounds",L_F=6e-4 (P093),0.0006,0.6971879079863805,0.6176392496818435,0.3934534734091424,0.7998078391755644,0.13896255516024242,0.09667640043229318,0.018342121482499193,0.6516319619615695
"theorist pi_DM=0.20, uniform backgrounds",L_F=4.2e-3 (range median),0.004242640687119285,0.37815609993507815,0.3502776496208332,0.1876394093126965,0.5573428221748136,0.53297158727396,0.05243747076570362,0.009948802962447257,0.35344646472733154
"theorist pi_DM=0.20, uniform backgrounds",L_F=3e-2 (P061 upper),0.03,0.0892781609654986,0.0882452575791936,0.04035767095564785,0.1825367308658924,0.8897401421953132,0.012379863650084817,0.002348794142016706,0.0834445097567658
"theorist pi_DM=0.20, uniform backgrounds","L_F log-uniform [6e-4, 3e-2]",,0.37815609993507815,0.3288519197498358,0.1256172339250481,0.6185399192492411,0.4743218558234198,0.04307497475916642,0.007457514998098831,0.30249290313623334
flat 1/11 each (pi_DM=0.27),L_F=6e-4 (P093),0.0006,0.7066570232361956,0.6302128535334366,0.4082443586201668,0.8077001334460665,0.13461711293740694,0.09365327156203168,0.01776855237206855,0.6312550407255454
flat 1/11 each (pi_DM=0.27),L_F=4.2e-3 (range median),0.004242640687119285,0.38885645528936164,0.36260193946901265,0.19685583366817413,0.5694233488919472,0.5238004988754529,0.05153515497388786,0.009777609312341787,0.34736454807444994
flat 1/11 each (pi_DM=0.27),L_F=3e-2 (P061 upper),0.03,0.09302722921081376,0.0927379781909729,0.04280514304498887,0.18993353461559584,0.8860774469894717,0.012328900829492888,0.002339125119978151,0.08310100293792565
flat 1/11 each (pi_DM=0.27),"L_F log-uniform [6e-4, 3e-2]",,0.38885645528936164,0.34099659924560766,0.13209373597094115,0.6301591613837665,0.4650384975880863,0.042152160150697636,0.007314496558220999,0.2967284048050799
