paper,classes,factors,KL_sequential_nats,KL_leave_one_out_ref_bH_nats,dex_moved,max_abs_dlog10odds,class_max_shift,P_DM_after,P_F_after,rank_sequential,rank_loo,KL_sequential_nats_ref_bH
P041,F,L_F,1.1046560804459686,0.476849744494634,1.372363747448347,1.3723637474483485,F,0.6389030337658506,0.2892871645711819,1,1,0.2924434820983469
P004,B,R_B; k_B,0.26205273315602967,0.0007618235784595856,3.0546777318523763,3.0546777318523763,B,0.029190377881406392,0.28638976221562257,2,14,0.026568655453075116
P016,A,b_nb,0.25744280384688917,0.00047953873129219157,2.3248759908329184,2.3248759908329184,A,0.08001206764379507,0.5491805256957429,3,15,0.00029026565259270573
P029,G,R_G,0.21869776373742236,0.0002893240337543795,2.571333751784366,2.571333751784366,G,0.08884274085599311,0.9002887337159514,4,16,0.002347748210691363
P010,C,R_C,0.21819859796346194,0.00011096431413261347,2.174360993000928,2.1743609930009278,C,0.051698759178298914,0.35484586987245054,5,19,0.00034568878567819386
P013,D,L_D,0.17109368941847214,0.03103635494408988,3.5,3.5,D,0.06137512472966245,0.42126174533738253,6,7,0.011987322629580606
P022,E,R_E; k_E,0.1677621941628148,0.0002615157102759567,3.6276362525516532,2.0713337517843655,E,0.10154289154196416,0.696962098341753,7,18,0.0009875889280449588
P061,DM,1/f_FP,0.1621972139578728,0.14840456101532037,0.5,0.4798634738758538,I,0.378297053285507,0.541660508189312,8,2,0.1621972139578728
P001,DM,R_DM,0.1469130177315791,0.0,1.0374752622868828,0.9912742871856968,I,0.022419063663877775,0.21995571067562747,9,20,0.8343589991635144
P019,"A,H",nu_incoh; L_H,0.06257261742521336,0.006540702296956518,3.1220625721637543,3.1221518114308653,H,0.08519000354144965,0.5847204341374581,10,11,0.0024597432163075174
P076,I,S_I,0.036464771846070075,0.03716035476197373,0.2614393726401688,0.2614393726401688,I,0.2584968599993564,0.6557838608054176,11,5,0.036464771846070075
P093,"B,E",W_B; T_E,0.024711271034051272,0.024711271034051272,1.2614393726401687,0.9999235573217056,E,0.26730697200360365,0.6781343422166339,12,8,0.024711271034051272
P056,C,F_C,0.02091865257908052,0.0463909872272693,0.926935982160881,0.9269359821608809,C,0.6580260347154556,0.2979458160886056,13,3,0.02091865257908052
P027,"DM,I,J,K",B_DM refinement; share_I; share_J; share_K,0.019987889816272156,0.03795300683047431,2.2922595790944786,1.259629469682507,K,0.07110780288531567,0.7205715762496745,14,4,0.17937540898873397
P006,"I,J",T_I; T_J,0.004263584842376778,0.032911211507077674,0.280807946482643,0.272111218957402,I,0.041208604669198144,0.2828443738783111,15,6,0.050047194071442834
P031,J,S_J,0.0012724269485264279,0.006947842199054846,0.34948500216800943,0.3494850021680094,J,0.08550293668474314,0.9035886998173229,16,10,0.011958568844027028
P033,"B,G","P_pos; RFR + 214Pb MSSI at position (additive); P_pos,G",0.0010868371623327158,0.010486100543230589,2.2160165465884227,1.1829341098581576,G,0.08562214037087908,0.9048484355403912,17,9,0.01074885098767699
P070,A,T_A,0.0009886452204240798,0.001216542704214317,0.12590598649689977,0.10902164626336153,A,0.3815202657662532,0.5462756298117516,18,13,0.0009886452204240798
P040,K,S_K,0.0005474067729533182,0.003046326057584394,0.8010299956639811,0.8010299956639813,K,0.08485583139938568,0.9056067582258045,19,12,0.005466816014903017
P073,B,V_B,0.0004017769154864205,0.0002726142542625407,0.5511864543547792,0.5498316460545944,B,0.3818253219741279,0.5467124212145623,20,17,0.0004017769154864205
