N_new,N_tot,bkg,N_eff,scheme,p_local,Z_local,p_global,Z_global
1,2,band200_270,1.0,pre-registered count (1 window),9.686142109191527e-06,4.272005448240163,9.686142109191527e-06,4.272005448240163
1,2,band200_270,3.0,three pre-registered spectra,9.686142109191527e-06,4.272005448240163,2.9058144864436475e-05,4.020331560888151
1,2,band200_270,12.2,LZ 616-model set (P008),9.686142109191527e-06,4.272005448240163,0.00011816452406866667,3.676636904172229
1,2,band200_270,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",9.686142109191527e-06,4.272005448240163,0.0001346289640878989,3.6432110089036644
1,2,band200_270,41.7,three separate 616-model papers,9.686142109191527e-06,4.272005448240163,0.0004038325198299269,3.350154476981486
1,2,panel,1.0,pre-registered count (1 window),0.0031815385612321495,2.7284601842282084,0.003181538561232149,2.7284601842282084
1,2,panel,3.0,three pre-registered spectra,0.0031815385612321495,2.7284601842282084,0.009514281324976852,2.3449709397535954
1,2,panel,12.2,LZ 616-model set (P008),0.0031815385612321495,2.7284601842282084,0.038130648766776055,1.7728033535695866
1,2,panel,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",0.0031815385612321495,2.7284601842282084,0.04332723540376127,1.7133157259319058
1,2,panel,41.7,three separate 616-model papers,0.0031815385612321495,2.7284601842282084,0.12443129425161922,1.153116454998284
2,3,band200_270,1.0,pre-registered count (1 window),1.4226510292181707e-08,5.550698638873534,1.4226510292181707e-08,5.550698638873534
2,3,band200_270,3.0,three pre-registered spectra,1.4226510292181707e-08,5.550698638873534,4.267953026936434e-08,5.3554175579862
2,3,band200_270,12.2,LZ 616-model set (P008),1.4226510292181707e-08,5.550698638873534,1.7356341173708708e-07,5.095878987246373
2,3,band200_270,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",1.4226510292181707e-08,5.550698638873534,1.9774847491572896e-07,5.071112465861357
2,3,band200_270,41.7,three separate 616-model papers,1.4226510292181707e-08,5.550698638873534,5.932453074338167e-07,4.857880361316255
2,3,panel,1.0,pre-registered count (1 window),8.633409416142706e-05,3.755974626291972,8.633409416142706e-05,3.755974626291972
2,3,panel,3.0,three pre-registered spectra,8.633409416142706e-05,3.755974626291972,0.0002589799224003349,3.4712923034401495
2,3,panel,12.2,LZ 616-model set (P008),8.633409416142706e-05,3.755974626291972,0.001052766869916872,3.0749280033916
2,3,panel,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",8.633409416142706e-05,3.755974626291972,0.0011993758872983998,3.035829234781433
2,3,panel,41.7,three separate 616-model papers,8.633409416142706e-05,3.755974626291972,0.003593813879643337,2.6880237808772662
3,4,band200_270,1.0,pre-registered count (1 window),1.5673682049575043e-11,6.640098479280114,1.5673682049575043e-11,6.640098479280114
3,4,band200_270,3.0,three pre-registered spectra,1.5673682049575043e-11,6.640098479280114,4.7021046147988136e-11,6.476230917411459
3,4,band200_270,12.2,LZ 616-model set (P008),1.5673682049575043e-11,6.640098479280114,1.9121892098803173e-10,6.261032076638887
3,4,band200_270,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",1.5673682049575043e-11,6.640098479280114,2.1786418046706807e-10,6.240660026853553
3,4,band200_270,41.7,three separate 616-model papers,1.5673682049575043e-11,6.640098479280114,6.535925412588099e-10,6.066511330969308
3,4,panel,1.0,pre-registered count (1 window),1.7619188842490695e-06,4.637655326780134,1.7619188842490695e-06,4.637655326780134
3,4,panel,3.0,three pre-registered spectra,1.7619188842490695e-06,4.637655326780134,5.285747339678214e-06,4.405141299496364
3,4,panel,12.2,LZ 616-model set (P008),1.7619188842490695e-06,4.637655326780134,2.1495198299360043e-05,4.090791245033923
3,4,panel,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",1.7619188842490695e-06,4.637655326780134,2.449039417177687e-05,4.060437784101381
3,4,panel,41.7,three separate 616-model papers,1.7619188842490695e-06,4.637655326780134,7.346938319179937e-05,3.796186849702354
5,6,band200_270,1.0,pre-registered count (1 window),1.0148389944879769e-17,8.492081953407865,1.0148389944879769e-17,8.492081953407865
5,6,band200_270,3.0,three pre-registered spectra,1.0148389944879769e-17,8.492081953407865,3.0445169834639305e-17,8.363488742992958
5,6,band200_270,12.2,LZ 616-model set (P008),1.0148389944879769e-17,8.492081953407865,1.2381035732753318e-16,8.196435177938746
5,6,band200_270,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",1.0148389944879769e-17,8.492081953407865,1.410626202338288e-16,8.180731788103918
5,6,band200_270,41.7,three separate 616-model papers,1.0148389944879769e-17,8.492081953407865,4.231878607014863e-16,8.047304276239517
5,6,panel,1.0,pre-registered count (1 window),3.927648036563117e-10,6.147824332948595,3.927648036563117e-10,6.147824332948595
5,6,panel,3.0,three pre-registered spectra,3.927648036563117e-10,6.147824332948595,1.1782944105061426e-09,5.971100244136633
5,6,panel,12.2,LZ 616-model set (P008),3.927648036563117e-10,6.147824332948595,4.7917305940676726e-09,5.737940779501649
5,6,panel,13.9,"LZ 616-model set (P001, from 2.6/3.4 sigma)",3.927648036563117e-10,6.147824332948595,5.459430756992177e-09,5.715800756228176
5,6,panel,41.7,three separate 616-model papers,3.927648036563117e-10,6.147824332948595,1.6378292181560377e-08,5.5260258742184405
