E_keV,S1c_median,S1c_sd,log10S2c_median,log10S2c_sd,P_S2c_pass,P_S1c_gt_600,P_pass_600,P_S1_600,P_pass_700,P_S1_700,P_pass_800,P_S1_800,P_pass_1000,P_S1_1000,P_pass_1200,P_S1_1200
200.0,418.88465332758796,22.81935025569228,3.9831429009058104,0.03333553905611106,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
204.0,428.3910080047792,22.381286021947886,3.9859656674568518,0.03256243029290429,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
208.0,438.85084851105364,23.46297301444085,3.989670595487199,0.0325300003641414,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
212.0,448.9810478056341,23.404245595758013,3.992158858127179,0.032430886888650555,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216.0,458.3695343980152,23.8578218190546,3.9950838109718405,0.03215630191513264,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220.0,468.34320840558416,23.85231324687167,3.998537699880737,0.032037607872367514,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
224.0,478.34657109394726,24.26889214438735,4.001049467991114,0.032230189519333034,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
228.0,487.6395279194577,24.881812438911354,4.003252743149884,0.03177292043025465,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
232.0,498.536859613587,25.25513717597435,4.005143131397258,0.03262189462747965,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236.0,508.9569829683363,25.205258772655608,4.007111751155594,0.03194198987639417,1.0,0.0003333333333333333,0.9996666666666667,0.9996666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
