handle,variant,s,targets,LR_central,LR_lo,LR_hi,EIG_nats_median,EIG_p16,EIG_p84,PNR_now_median,PNR_if_NRlike_median,PNR_if_bkglike_median,dlog10_odds_NR_if_NRlike,dlog10_odds_NR_if_bkglike,source
S1 pulse shape / photon timing (ER vs NR template LR),central,1.0,WALL+RFR+ER+ACC+ART,3.0,2.0,5.0,0.0031195824405033166,0.0009039718866947937,0.009170465440075106,0.9940918209557716,0.9977209348574386,0.9840929388246387,0.46127767224325156,-0.44704552904103695,P077: LR <= 2-5 after LZ's AmBe-vs-ER statement
S1 pulse shape / photon timing (ER vs NR template LR),mc,1.0,WALL+RFR+ER+ACC+ART,3.0,2.0,5.0,0.00317756022836364,0.0008951413797331386,0.009656573873649956,0.9940918209557716,0.99772289669727,0.9833288491114861,0.4556832974829865,-0.4432880989523742,P077: LR <= 2-5 after LZ's AmBe-vs-ER statement
S2 width vs drift template (cathode-emission S2),central,1.0,ACC,5.0,3.0,20.0,0.00016587572106884358,2.952806148728325e-05,0.000945155315618246,0.99402348713053,0.9944739109330789,0.992093328679271,0.01002413404231393,-0.049136463441968994,P022: cathode S2 1.65 vs 1.49 us (2.4 sigma_stat)
S2 width vs drift template (cathode-emission S2),mc,1.0,ACC,5.0,3.0,20.0,0.00021050193861569746,3.649575304561741e-05,0.0012449513164770744,0.99402348713053,0.9944771085600628,0.9910023948226029,0.010152731696998034,-0.0773721101202082,P022: cathode S2 1.65 vs 1.49 us (2.4 sigma_stat)
S1 TBA + per-PMT hit pattern vs wall-MSSI / isolated-S1 templates,central,1.0,WALL+ACC,1.5,1.0,3.0,3.290966274673997e-05,8.696831285381345e-06,0.00014747598663800135,0.9940783921168952,0.9944374081190135,0.9937608374375653,0.010161783334744004,-0.008700604630713982,LZ: no discrimination found; P077: TBA sigma 0.035
S1 TBA + per-PMT hit pattern vs wall-MSSI / isolated-S1 templates,mc,1.0,WALL+ACC,1.5,1.0,3.0,3.9591185919220524e-05,5.29308745562246e-06,0.0002279612938613796,0.9940783921168952,0.9944418201671694,0.9935839501230899,0.009290627994434858,-0.01022425371489058,LZ: no discrimination found; P077: TBA sigma 0.035
"(x, y) within FV vs gamma-source map (azimuth, PMT hot spots, 57Co tube)",central,1.0,WALL+RFR,2.0,1.0,3.0,6.571301380422673e-06,1.9106848696653218e-06,2.3336486118023593e-05,0.9940979935010479,0.9941218156253917,0.9940551985929892,0.0009732622338241013,-0.0014558159692186468,P070: wall LR spans 2-50 with the source; P033 source maps
"(x, y) within FV vs gamma-source map (azimuth, PMT hot spots, 57Co tube)",mc,1.0,WALL+RFR,2.0,1.0,3.0,3.66495837376769e-06,5.052306092500824e-07,1.7513955292554483e-05,0.9940979935010479,0.9941181547469944,0.9940660954902445,0.0007661740606550169,-0.0008688944430976087,P070: wall LR spans 2-50 with the source; P033 source maps
"hour-resolved e-lifetime, 83mKr S2c-map cell at (x,y), per-PMT S2 footprint",central,1.0,ART,2.0,1.3,5.0,0.0007710042300892695,0.0001918342242207628,0.00314563030249328,0.9940637747870247,0.9963695803378776,0.9911958305635589,0.18675724253729326,-0.1830591121061938,P041: testable channels are 1.6e-3 of the 6e-3 residual
"hour-resolved e-lifetime, 83mKr S2c-map cell at (x,y), per-PMT S2 footprint",mc,1.0,ART,2.0,1.3,5.0,0.0009985633105978556,0.00021992571348896235,0.004600284378288451,0.9940637747870247,0.9964592315959324,0.9897059293845518,0.1900918116867721,-0.21336574843981185,P041: testable channels are 1.6e-3 of the 6e-3 residual
