entry,kind,isospin,NR_reduction,coefficients_Anand,responses,reliability,Z_LZ_100,Z_LZ_200,Z_LZ_400,Z_LZ_1000,Z_LZ_4000,class_H0.02,class_rep_H0.02,H_to_rep,N3sigma_gauss_vs_rep,coupling_ratio_entry_over_rep_at_equal_R200_270,class_H0.05,class_rep_H0.05,class_H0.15,class_rep_H0.15,N_lo,N_mid,R_hi_unit,acc_unit,N_2p84,peak_true_keV,obs_median_keV,p248_per_keV,Z_pred_P016,resid_Z_LZ_minus_pred_1000
L1s,Lagrangian,s,O1,"{""c1"": ""1""}",M,certain,0,0,0,0,0,5,L1s,0,inf,1,4,L1s,3,L13s,2774.1,89.657,1.7569e+05,5.8369e+08,1.6577e+09,16.25,16.5,1.0734e-06,0.15817,-0.15817
L1v,Lagrangian,v,O1,"{""c1"": ""1""}",M,certain,0,0,0.3,1.3,1.2,4,L1v,0,inf,1,3,L1v,3,L13s,472.62,8.6976,22548,1.3072e+07,3.7123e+07,16.25,13.5,3.1121e-05,1.4348,-0.13481
L2s,Lagrangian,s,O10,"{""c10"": ""1""}",q2 Sigma'',certain,2.4,2.8,2.9,3,3.1,32,L2v,0.0078537,18644,0.95746,29,L2v,18,L2v,2.9529,5.9408,2.5219,26.396,74.964,36.25,86.5,0.0012068,3.3138,-0.31381
L2v,Lagrangian,v,O10,"{""c10"": ""1""}",q2 Sigma'',certain,2.4,2.5,3,3.1,3.1,32,L2v,0,inf,1,29,L2v,18,L2v,3.0193,6.2461,2.3119,25.098,71.278,36.25,86.5,0.001161,3.3094,-0.20944
L3s,Lagrangian,s,-(mN/mchi) O11,"{""c11"": ""-0.000938272""}",q2 M,certain,0,1.1,1.5,1.7,1.8,8,L17s,1.0537e-08,inf,2131.6,6,L17s,4,L17s,261.44,31.727,0.0023467,0.73824,2.0966,16.25,27.5,1.2499e-05,1.7589,-0.058935
L3v,Lagrangian,v,-(mN/mchi) O11,"{""c11"": ""-0.000938272""}",q2 M,certain,0.2,2.2,2.5,2.6,2.7,1,L3v,0,inf,1,1,L3v,1,L3v,34.713,3.8713,0.00033484,0.014041,0.039875,16.25,22.5,0.00044861,2.6265,-0.026463
L4s,Lagrangian,s,-(mN/mchi) O6,"{""c6"": ""-0.000938272""}",q4 Sigma'',certain,2.6,3.1,3.1,3.1,3,28,L20s,0,inf,4263.2,26,L20s,16,L20s,0.39697,2.9476,3.566e-08,1.6378e-07,4.6513e-07,131.25,142.5,0.0029545,3.5413,-0.44135
L4v,Lagrangian,v,-(mN/mchi) O6,"{""c6"": ""-0.000938272""}",q4 Sigma'',certain,2.7,3.1,3.2,3.1,3.1,28,L20s,0.008178,17126,4451.3,26,L20s,16,L20s,0.4082,3.0852,3.2709e-08,1.5526e-07,4.4094e-07,131.25,140.5,0.0028533,3.5399,-0.43987
L5s,Lagrangian,s,O1,"{""c1"": ""1""}",M,certain,0,0,0,0,0,5,L1s,0,inf,1,4,L1s,3,L13s,2774.1,89.657,1.7569e+05,5.8369e+08,1.6577e+09,16.25,16.5,1.0734e-06,0.15817,-0.15817
L5v,Lagrangian,v,O1,"{""c1"": ""1""}",M,certain,0,0,0.7,1.3,1.3,4,L1v,0,inf,1,3,L1v,3,L13s,472.62,8.6976,22548,1.3072e+07,3.7123e+07,16.25,13.5,3.1121e-05,1.4348,-0.13481
L6s,Lagrangian,s,(q2/2mN2) O1 + 2 O3,"{""c1"": ""0.5 (q/mN)^2"", ""c3"": ""2""}",q4 M + q2 Phi'' + q4 Phi''M + q2v2 Sigma',likely (sign of O1-O3 cross term uncertain),1.1,2.2,2.6,2.6,2.6,23,L6s,0,inf,1,21,L6s,12,L6s,31.846,20.325,45.5,2538.9,7210.5,26.25,43.5,0.00016452,2.6574,-0.05742
L6v,Lagrangian,v,(q2/2mN2) O1 + 2 O3,"{""c1"": ""0.5 (q/mN)^2"", ""c3"": ""2""}",q4 M + q2 Phi'' + q4 Phi''M + q2v2 Sigma',likely (sign of O1-O3 cross term uncertain),2.9,3.1,3.2,3.3,3.3,22,L6v,0,inf,1,20,L6v,11,L6v,1.4134,0.84974,51.872,182.92,519.49,26.25,69.5,0.0042206,3.4316,-0.13163
L7s,Lagrangian,s,-2 O7 + 2(mN/mchi) O9,"{""c7"": ""-2"", ""c9"": ""0.00187654""}",v2 Sigma' + (mN/mchi)2 q2 Sigma',likely,1.6,2.5,2.7,2.7,2.7,3,L7s,0,inf,1,2,L7s,2,L7s,30.883,5.2872,5.1457e-05,0.0023018,0.0065372,16.25,14.5,0.0002402,2.6684,0.031556
L7v,Lagrangian,v,-2 O7 + 2(mN/mchi) O9,"{""c7"": ""-2"", ""c9"": ""0.00187654""}",v2 Sigma' + (mN/mchi)2 q2 Sigma',likely,1.6,2.3,2.7,2.7,2.8,2,L7v,0,inf,1,2,L7s,2,L7s,34.049,4.9234,3.9841e-05,0.0019329,0.0054893,16.25,13.5,0.00022599,2.6334,0.066603
L8s,Lagrangian,s,-2 O10,"{""c10"": ""-2""}",q2 Sigma'',likely (LZ: L2/L8 differ by a constant),2.3,2.8,2.9,3,3,32,L2v,0.0078537,18644,0.47873,29,L2v,18,L2v,2.9529,5.9408,10.088,105.58,299.86,36.25,86.5,0.0012068,3.3138,-0.31381
L8v,Lagrangian,v,-2 O10,"{""c10"": ""-2""}",q2 Sigma'',likely (LZ: L2/L8 differ by a constant),2.4,2.9,2.9,3,3,32,L2v,0,inf,0.5,29,L2v,18,L2v,3.0193,6.2461,9.2478,100.39,285.11,36.25,86.5,0.001161,3.3094,-0.30944
