model,detector,target,events_per_yr,E_R_typ_keV,E_ee_lo,E_ee_hi,threshold_keVee,threshold_pass,B14C_per_yr_in_window,S_over_B,S_over_sqrtB_1yr,note
A: inelastic O1 delta=300,Borexino,C/H/O,0.0,,0.0,0.0,50.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 97, ceiling(12C) = 40 keV"
A: inelastic O1 delta=350,Borexino,C/H/O,0.0,,0.0,0.0,50.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 115, ceiling(12C) = 40 keV"
A: inelastic O1 delta=366,Borexino,C/H/O,0.0,,0.0,0.0,50.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 120, ceiling(12C) = 40 keV"
A: inelastic O1 delta=380,Borexino,C/H/O,0.0,,0.0,0.0,50.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 126, ceiling(12C) = 40 keV"
A: inelastic O1 delta=300,KamLAND,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 97, ceiling(12C) = 40 keV"
A: inelastic O1 delta=350,KamLAND,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 115, ceiling(12C) = 40 keV"
A: inelastic O1 delta=366,KamLAND,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 120, ceiling(12C) = 40 keV"
A: inelastic O1 delta=380,KamLAND,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 126, ceiling(12C) = 40 keV"
A: inelastic O1 delta=300,SNO+,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 97, ceiling(12C) = 40 keV"
A: inelastic O1 delta=350,SNO+,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 115, ceiling(12C) = 40 keV"
A: inelastic O1 delta=366,SNO+,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 120, ceiling(12C) = 40 keV"
A: inelastic O1 delta=380,SNO+,C/H/O,0.0,,0.0,0.0,200.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 126, ceiling(12C) = 40 keV"
A: inelastic O1 delta=300,JUNO,C/H/O,0.0,,0.0,0.0,100.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 97, ceiling(12C) = 40 keV"
A: inelastic O1 delta=350,JUNO,C/H/O,0.0,,0.0,0.0,100.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 115, ceiling(12C) = 40 keV"
A: inelastic O1 delta=366,JUNO,C/H/O,0.0,,0.0,0.0,100.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 120, ceiling(12C) = 40 keV"
A: inelastic O1 delta=380,JUNO,C/H/O,0.0,,0.0,0.0,100.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 126, ceiling(12C) = 40 keV"
A: inelastic O1 delta=300,SNO+ water,C/H/O,0.0,,0.0,0.0,3500.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 97, ceiling(12C) = 40 keV"
A: inelastic O1 delta=350,SNO+ water,C/H/O,0.0,,0.0,0.0,3500.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 115, ceiling(12C) = 40 keV"
A: inelastic O1 delta=366,SNO+ water,C/H/O,0.0,,0.0,0.0,3500.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 120, ceiling(12C) = 40 keV"
A: inelastic O1 delta=380,SNO+ water,C/H/O,0.0,,0.0,0.0,3500.0,False,0.0,inf,inf,"kinematically forbidden: A_min = 126, ceiling(12C) = 40 keV"
B: L10 (LZ fit) on 1H,Borexino,1H,3.1422640971379385e-06,4.632714626233719,0.8569902186590432,2.498136928279541,50.0,False,63255843.56295693,4.967547534182392e-14,3.950866521092231e-10,per kt yr: 1.13e-05; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: L10 (LZ fit) on 13C,Borexino,13C,0.011439791007576746,57.468283089650676,2.998598563188727,8.805728348464857,50.0,False,246830863.6120127,4.6346679828332445e-11,7.281458172174005e-07,per kt yr: 4.12e-02; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
B: L10 (LZ fit) on 1H,KamLAND,1H,1.608513127639809e-05,4.632714626233719,0.8569902186590432,2.498136928279541,200.0,False,802841369.034036,2.0035254655289407e-14,5.676880316568212e-10,per kt yr: 1.61e-05; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: L10 (LZ fit) on 13C,KamLAND,13C,0.0392022456472059,57.468283089650676,2.998598563188727,8.805728348464857,200.0,False,3132770307.060914,1.2513603553649758e-11,7.004008569682982e-07,per kt yr: 3.92e-02; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
B: L10 (LZ fit) on 1H,SNO+,1H,1.0750068335561838e-05,4.632714626233719,0.8569902186590432,2.498136928279541,200.0,False,641202809.0000583,1.6765472927865573e-14,4.245350158144401e-10,per kt yr: 1.38e-05; proton quenching Q~0.34 (electronic stopping only; nuclear stopping lowers it further)
B: L10 (LZ fit) on 13C,SNO+,13C,0.031309535105724075,57.468283089650676,2.998598563188727,8.805728348464857,200.0,False,2502039877.7610497,1.2513603553649757e-11,6.259353878493455e-07,per kt yr: 4.01e-02; single-particle <S_n> = -1/6; Q_C~0.096 (x0.6-1.7)
